name,yearID,votedBy,ballots,needed,votes,inducted,category,needed_note
Ichiro Suzuki,2025,BBWAA,394,296,393,Y,Player,NA
CC Sabathia,2025,BBWAA,394,296,342,Y,Player,NA
Billy Wagner,2025,BBWAA,394,296,325,Y,Player,NA
Carlos Beltrán,2025,BBWAA,394,296,277,N,Player,NA
Andruw Jones,2025,BBWAA,394,296,261,N,Player,NA
Chase Utley,2025,BBWAA,394,296,157,N,Player,NA
Alex Rodriguez,2025,BBWAA,394,296,146,N,Player,NA
Manny Ramirez,2025,BBWAA,394,296,135,N,Player,NA
Andy Pettitte,2025,BBWAA,394,296,110,N,Player,NA
Félix Hernández,2025,BBWAA,394,296,81,N,Player,NA
Bobby Abreu,2025,BBWAA,394,296,77,N,Player,NA
Jimmy Rollins,2025,BBWAA,394,296,71,N,Player,NA
Omar Vizquel,2025,BBWAA,394,296,70,N,Player,NA
Dustin Pedroia,2025,BBWAA,394,296,47,N,Player,NA
Mark Buehrle,2025,BBWAA,394,296,45,N,Player,NA
Francisco Rodríguez,2025,BBWAA,394,296,40,N,Player,NA
David Wright,2025,BBWAA,394,296,32,N,Player,NA
Torii Hunter,2025,BBWAA,394,296,20,N,Player,NA
Ian Kinsler,2025,BBWAA,394,296,10,N,Player,NA
Russell Martin,2025,BBWAA,394,296,9,N,Player,NA
Brian McCann,2025,BBWAA,394,296,7,N,Player,NA
Troy Tulowitzki,2025,BBWAA,394,296,4,N,Player,NA
Adam Jones,2025,BBWAA,394,296,3,N,Player,NA
Curtis Granderson,2025,BBWAA,394,296,3,N,Player,NA
Carlos González,2025,BBWAA,394,296,2,N,Player,NA
Ben Zobrist,2025,BBWAA,394,296,0,N,Player,NA
Fernando Rodney,2025,BBWAA,394,296,0,N,Player,NA
Hanley Ramírez,2025,BBWAA,394,296,0,N,Player,NA
